,width,height,channel
629,1024,768,3
630,1024,707,3
631,768,1024,3
632,1024,926,3
633,1024,768,3
634,1024,768,3
635,768,1024,3
636,768,1024,3
637,1024,1024,3
638,360,800,3
639,1013,1024,3
640,591,800,3
641,1024,768,3
642,1024,768,3
643,768,1024,3
644,450,800,3
645,1024,923,3
646,800,600,3
647,800,600,3
648,800,600,3
649,1024,768,3
650,645,750,3
651,1024,768,3
652,800,600,3
653,768,1024,3
654,768,1024,3
655,800,600,3
656,768,1024,3
657,1024,1024,3
658,1024,768,3
659,800,600,3
660,768,1024,3
661,1024,472,3
662,1024,576,3
663,768,1024,3
664,1024,768,3
665,768,1024,3
666,600,600,3
667,642,800,3
668,1024,768,3
669,640,480,3
670,1024,926,3
671,1024,768,3
672,1003,1024,3
673,1024,768,3
674,768,1024,3
675,1024,576,3
676,1024,768,3
677,1024,784,3
678,800,360,3
679,768,1024,3
680,1024,1024,3
681,768,1024,3
682,1024,1024,3
683,800,600,3
684,1024,768,3
685,1024,768,3
686,1024,768,3
687,1024,768,3
688,768,1024,3
689,1024,1024,3
690,450,450,3
691,1024,768,3
692,768,1024,3
693,1024,768,3
694,1024,1024,3
695,576,1024,3
696,768,1024,3
697,800,600,3
698,600,800,3
699,768,1024,3
700,451,338,3
701,1024,498,3
702,388,800,3
703,800,600,3
704,1024,1024,3
705,1024,768,3
706,800,600,3
707,1024,768,3
708,1024,768,3
709,800,450,3
710,1024,768,3
711,1024,578,3
712,720,960,3
713,643,1024,3
714,600,800,3
715,1024,974,3
716,800,600,3
717,768,1024,3
718,1024,584,3
719,768,1024,3
720,1024,768,3
721,1024,768,3
722,768,1024,3
723,1024,768,3
724,1024,764,3
725,1024,768,3
726,1024,768,3
727,1024,768,3
728,1024,793,3
729,724,1024,3
730,768,1024,3
731,768,1024,3
732,800,600,3
733,768,1024,3
734,765,1024,3
735,1024,768,3
736,1024,768,3
737,600,800,3
738,1024,768,3
739,788,940,3
740,1024,768,3
741,1024,768,3
742,996,1024,3
743,800,600,3
744,1024,768,3
745,1024,768,3
746,768,1024,3
747,1024,768,3
748,800,600,3
749,800,600,3
750,1024,1024,3
751,1024,768,3
752,1024,1024,3
753,1024,1024,3
754,276,1024,3
755,768,800,3
756,1024,473,3
757,600,800,3
758,768,1024,3
759,1024,768,3
760,768,1024,3
761,800,600,3
762,1024,826,3
763,800,600,3
764,1024,768,3
765,768,1024,3
766,800,600,3
767,1024,434,3
768,461,1024,3
769,1024,768,3
770,800,600,3
771,768,1024,3
772,800,600,3
773,960,720,3
774,533,800,3
775,1024,768,3
776,671,1024,3
777,890,1024,3
778,1024,768,3
779,768,1024,3
780,576,1024,3
781,500,458,3
782,600,800,3
783,1024,768,3
784,1024,764,3
785,1024,768,3
786,683,1024,3
787,1024,768,3
788,500,500,3
789,1024,768,3
790,576,1024,3
791,1024,768,3
792,800,600,3
793,764,1024,3
794,936,1024,3
795,1024,1024,3
796,1024,768,3
797,449,800,3
798,768,1024,3
799,1024,768,3
800,1024,768,3
801,1024,768,3
802,526,526,3
803,800,600,3
804,1024,768,3
805,822,810,3
806,768,1024,3
807,800,600,3
808,1024,573,3
809,800,749,3
810,800,600,3
811,397,800,3
812,1024,768,3
813,1024,768,3
814,600,800,3
815,768,1024,3
816,800,600,3
817,1024,570,3
818,1024,768,3
819,768,1024,3
820,800,360,3
821,768,1024,3
822,1024,498,3
823,768,1024,3
824,1024,768,3
825,768,1024,3
826,768,1024,3
827,1024,718,3
828,800,450,3
829,1024,819,3
830,800,800,3
831,716,1024,3
832,586,800,3
833,800,600,3
834,768,1024,3
835,1024,712,3
836,768,1024,3
837,800,524,3
838,768,1024,3
839,1024,1024,3
840,600,600,3
841,1024,768,3
842,553,960,3
843,576,1024,3
844,249,1024,3
845,1024,498,3
846,1024,768,3
847,800,601,3
848,1024,768,3
849,1024,768,3
850,768,1024,3
851,1024,768,3
852,768,1024,3
853,551,800,3
854,800,800,3
855,800,600,3
856,800,360,3
857,576,600,3
858,1024,1024,3
859,768,1024,3
860,766,1024,3
861,768,1024,3
862,1024,768,3
863,1024,768,3
864,645,1024,3
865,1024,768,3
866,768,1024,3
867,1024,583,3
868,1024,768,3
869,1024,603,3
870,1024,768,3
871,600,800,3
872,1024,683,3
873,1024,698,3
874,1024,576,3
875,768,1024,3
876,800,360,3
877,768,1024,3
878,1024,1024,3
879,1024,768,3
880,600,800,3
881,681,1024,3
882,1024,768,3
883,800,600,3
884,1024,768,3
885,490,800,3
886,1024,768,3
887,1024,768,3
888,1024,704,3
889,682,1024,3
890,800,600,3
891,1024,498,3
892,800,600,3
893,1024,768,3
894,800,360,3
895,768,1024,3
896,1024,768,3
897,1024,768,3
898,600,800,3
899,1024,768,3
900,450,800,3
901,960,720,3
902,1024,768,3
903,378,800,3
904,800,600,3
905,800,600,3
906,768,1024,3
907,800,600,3
908,1024,768,3
909,1024,768,3
910,1024,768,3
911,437,1024,3
912,1024,768,3
913,1024,768,3
914,1024,1024,3
915,1024,768,3
916,1024,768,3
917,1024,768,3
918,749,1024,3
919,1024,877,3
920,1024,768,3
921,600,800,3
922,1024,768,3
923,768,1024,3
924,1024,768,3
925,768,1024,3
926,800,600,3
927,1024,768,3
928,1024,768,3
929,766,800,3
930,800,600,3
931,881,1024,3
932,1024,531,3
933,756,1024,3
934,600,800,3
935,1024,1024,3
936,1024,768,3
937,1024,768,3
938,1024,768,3
939,768,1024,3
940,1024,1024,3
941,1024,768,3
942,1024,768,3
943,1024,768,3
944,800,600,3
945,842,1024,3
946,800,600,3
947,600,800,3
948,1024,1024,3
949,1024,768,3
950,1024,768,3
951,800,600,3
952,1024,768,3
953,800,360,3
954,800,600,3
955,600,800,3
956,800,600,3
957,800,600,3
958,1024,1024,3
959,1024,768,3
960,768,1024,3
961,800,600,3
962,1024,768,3
963,800,600,3
964,1024,720,3
965,1024,768,3
966,1024,768,3
967,1024,768,3
968,1024,768,3
969,1024,576,3
970,939,750,3
971,1024,768,3
972,1024,768,3
973,1024,768,3
974,1024,764,3
975,1024,160,3
976,1024,768,3
977,600,800,3
978,1024,498,3
979,800,600,3
980,768,1024,3
981,1024,768,3
982,461,1024,3
983,1024,576,3
984,1024,1024,3
985,1024,477,3
986,1024,768,3
987,1024,768,3
988,600,800,3
989,1024,768,3
990,800,378,3
991,768,1024,3
992,1024,798,3
993,575,1024,3
994,576,1024,3
995,768,1024,3
996,1024,768,3
997,450,800,3
998,1024,768,3
999,768,1024,3
1000,800,600,3
